year,category,nominee,workers,winner
2013,Best Rap Song,"Young, Wild & Free.","Bruno Mars (Songwriter), Wiz Khalifa (Songwriter), Peter Hernandez (Songwriter), Snoop Dogg (Songwriter), Philip Lawrence (Songwriter), Brody Brown (Songwriter)",False
2013,Best Rap Song,Daughters.,"Nas (Songwriter), No I.D. (Songwriter)",False
2013,Best Rock Song,Lonely Boy.,"Dan Auerbach (Songwriter), Patrick J. Carney (Songwriter), Danger Mouse (Songwriter)",True
2013,Best Rock Song,Freedom At 21.,Jack White (Songwriter),False
2013,Best Rock Song,Madness.,Matthew Bellamy (Songwriter),False
2013,Best Song Written for Visual Media,Safe & Sound.,The Hunger Games,True
2013,Best Song Written for Visual Media,Let Me Be Your Star.,Smash,False
2013,Best Song Written for Visual Media,Man or Muppet.,The Muppets,False
2013,Song of the Year,We Are Young.,"Jack Antonoff (Songwriter), Jeff Bhasker (Songwriter), Andrew Dost (Songwriter), Nate Ruess (Songwriter)",True
2013,Song of the Year,The a Team.,Ed Sheeran (Songwriter),False
2013,Song of the Year,Adorn.,Miguel (Songwriter),False
2014,Best American Roots Song,Love Has Come For You.,"Edie Brickell (songwriter), Steve Martin (songwriter)",True
2014,Best Contemporary Christian Music Song,Overcomer,"Christopher Stevens (songwriter), David Garcia (songwriter), Ben Glover (songwriter)",True
2014,Best Country Song,Merry Go 'Round.,"Shane McAnally (Songwriter), Kacey Musgraves (Songwriter), Josh Osborne (Songwriter)",True
2014,Best Country Song,Being Again.,Taylor Swift (songwriter),False
2014,Best Gospel Song,If He Did It Before... Same God [Live],Tye Tribbett (songwriter),True
2014,Best R&B Song,Pusher Love Girl.,"James Fauntleroy (songwriter), Jerome Harmon (songwriter), Timbaland (songwriter), Justin Timberlake (songwriter)",True
2014,Best R&B Song,Only One.,PJ Morton,False
2014,Best Rap Song,Thrift Shop.,"Ryan Lewis (Songwriter), Macklemore (Songwriter)",True
